C_COMMON_OVERRIDE_OPTIONS	3	3	1	PRESENCE	MINORITY	1	do { SUBTARGET_C_COMMON_OVERRIDE_OPTIONS; } while (0)	<undefined>
SHIFT_COUNT_TRUNCATED	48	1	48	CONVERTED	majority	1	(targetm_cdata.shift_count_truncated)	(targetm_cdata.shift_count_truncated)
FRACT_TYPE_SIZE	48	2	45	VALUE	majority	1	(BITS_PER_UNIT * 2)	(BITS_PER_UNIT * 2)
ASM_PN_FORMAT	48	4	42	VALUE	majority	1	"%s.%lu"	"%s.%lu"
LOAD_EXTEND_OP	48	1	48	CONVERTED	majority	1	(MODE) ((enum rtx_code) mt_load_extend_op ((int) (MODE)))	(MODE) ((enum rtx_code) mt_load_extend_op ((int) (MODE)))
UINT_LEAST8_TYPE	48	3	8	VALUE	MINORITY	1	"unsigned char"	(UINT8_TYPE ? UINT8_TYPE : UINT16_TYPE ? UINT16_TYPE : UINT32_TYPE ? UINT32_TYPE : UINT64_TYPE ? UINT64_TYPE : 0)
ASM_OUTPUT_ALIGNED_DECL_LOCAL	14	13	2	PRESENCE	MINORITY	2	(FILE,DECL,NAME,SIZE,ALIGN) darwin_asm_output_aligned_decl_local ((FILE), (DECL), (NAME), (SIZE), (ALIGN))	<undefined>
STATIC_CHAIN_REGNUM	45	37	3	PRESENCE	MINORITY	1	<undefined>	R18_REGNUM
UINTPTR_TYPE	48	5	4	VALUE	MINORITY	1	"long unsigned int"	SIZE_TYPE
UINT_FAST8_TYPE	48	4	8	VALUE	MINORITY	1	"unsigned char"	(INT_TYPE_SIZE >= 8 ? "unsigned int" : UINT_LEAST8_TYPE)
ASM_WEAKEN_LABEL	44	4	4	PRESENCE	MINORITY	3	<undefined>	(FILE,NAME) do { fputs ("\t.weak\t", (FILE)); assemble_name ((FILE), (NAME)); fputc ('\n', (FILE)); } while (0)
SUPPORTS_WEAK	48	2	47	VALUE	majority	2	1	1
RETURN_ADDR_OFFSET	48	3	46	VALUE	majority	1	0	0
DWARF2_UNWIND_INFO	45	2	40	PRESENCE	majority	6	1	1
CTF_DEBUGGING_INFO	41	1	7	PRESENCE	MINORITY	1	<undefined>	1
STACK_REGS	1	1	1	PRESENCE	MINORITY	3		<undefined>
FIND_BASE_TERM	3	3	1	PRESENCE	MINORITY	2	(X) ix86_find_base_term (X)	<undefined>
